Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success
airplane,50,68.75594425626448,0.9998859819266461,-8.0,1000,39867,Yes
airplane,50,65.67354482671897,0.9997761426138294,-112.0,2000,39867,Yes
airplane,50,63.847885299963146,0.9996979578022742,-42.0,3000,39867,Yes
airplane,50,62.603908355433305,0.9996492511148094,19.0,4000,39867,Yes
airplane,50,61.60180155641684,0.9996136020746514,-25.0,5000,39867,Yes
airplane,50,60.79576680331921,0.9995862143752979,-24.0,6000,39867,Yes
airplane,50,60.13006013074477,0.999568281938194,-175.0,7000,39867,Yes
airplane,50,59.55480297469429,0.9995560462047821,-93.0,8000,39867,Yes
airplane,50,59.26935916845186,0.9995268210032744,-159.0,9000,39867,Yes
airplane,50,59.054278446918,0.9995035460555309,-191.0,10000,39867,Yes
airplane,50,58.86756633022444,0.9994889699030897,-190.0,11000,39867,Yes
airplane,50,58.65945142363654,0.9994772552534592,-174.0,12000,39867,Yes
airplane,50,58.47697253867412,0.9994689032320621,-174.0,13000,39867,Yes
airplane,50,58.30788833703346,0.9994631885820426,-166.0,14000,39867,Yes
airplane,50,58.158125551840286,0.9994533138863073,-126.0,15000,39867,Yes
airplane,60,68.69514963525799,0.9998779881543216,-52.0,1000,46491,Yes
airplane,60,65.61374429745447,0.9997562456823971,-51.0,2000,46491,Yes
airplane,60,63.82631076568405,0.9996455549330541,-76.0,3000,46491,Yes
airplane,60,62.63043947644074,0.9995748807293947,-73.0,4000,46491,Yes
airplane,60,61.655180860527985,0.9995242115749692,-116.0,5000,46491,Yes
airplane,60,60.87388664729025,0.9994880891358344,-32.0,6000,46491,Yes
airplane,60,60.20579877087519,0.9994629978208647,-34.0,7000,46491,Yes
airplane,60,59.6185057369665,0.9994439122263202,-63.0,8000,46491,Yes
airplane,60,59.110793628949914,0.9994321678539586,-64.0,9000,46491,Yes
airplane,60,58.84329306963469,0.9993962693533198,-91.0,10000,46491,Yes
airplane,60,58.62441546182297,0.9993619294738988,1.0,11000,46491,Yes
airplane,60,58.423655759709234,0.9993373315719243,-109.0,12000,46491,Yes
airplane,60,58.23634861511436,0.9993211546617269,-101.0,13000,46491,Yes
airplane,60,58.05125287470538,0.9993098228551263,-80.0,14000,46491,Yes
airplane,60,57.888897301582006,0.9993020062457973,-189.0,15000,46491,Yes
airplane,70,68.85267308368933,0.9998766071215356,72.0,1000,55305,Yes
airplane,70,65.79277227756857,0.9997563067215908,36.0,2000,55305,Yes
airplane,70,64.01609346883454,0.9996400354791487,86.0,3000,55305,Yes
airplane,70,62.669364678435315,0.9995303428808923,49.0,4000,55305,Yes
airplane,70,61.68324461746052,0.9994575775123135,-5.0,5000,55305,Yes
airplane,70,60.91458053205935,0.9994070122542061,66.0,6000,55305,Yes
airplane,70,60.21783687749917,0.9993688203629816,13.0,7000,55305,Yes
airplane,70,59.61384116982559,0.9993405082865331,81.0,8000,55305,Yes
airplane,70,59.08203161469152,0.9993218868051793,15.0,9000,55305,Yes
airplane,70,58.610331825728956,0.9993097735990581,70.0,10000,55305,Yes
airplane,70,58.363288444350886,0.9992639985375289,30.0,11000,55305,Yes
airplane,70,58.17901517758493,0.9992142193969594,-3.0,12000,55305,Yes
airplane,70,58.013355517296155,0.9991807082643074,47.0,13000,55305,Yes
airplane,70,57.84400213839664,0.9991564674819934,29.0,14000,55305,Yes
airplane,70,57.69117467867913,0.9991398223158882,-8.0,15000,55305,Yes
airplane,80,68.58708279849465,0.9998664030338568,-59.0,1000,69516,Yes
airplane,80,65.54195845118325,0.9997337277170835,-96.0,2000,69516,Yes
