Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success,,,
baboon,60,47.87642667,0.999382729,45,5000,69073,Yes,,,
baboon,60,47.10844698,0.999101715,44,6000,69073,Yes,,,
baboon,60,46.44251726,0.99868836,57,7000,69073,Yes,,,
baboon,60,45.89630877,0.998100826,64,8000,69073,Yes,,,
baboon,60,45.41469407,0.997217093,78,9000,69073,Yes,,,
baboon,60,45.06041846,0.996175562,97,10000,69073,Yes,,,
baboon,60,44.73078531,0.996025108,115,11000,69073,Yes,,,
baboon,60,44.4550942,0.995960778,132,12000,69073,Yes,,,
baboon,60,44.17708529,0.995878812,116,13000,69073,Yes,,,
baboon,60,43.90580706,0.995770596,125,14000,69073,Yes,,,
baboon,60,43.66492017,0.995638366,139,15000,69073,Yes,,,
baboon,70,57.20285147,0.999954562,25,1000,84536,Yes,,,
baboon,70,54.14398783,0.999899669,39,2000,84536,Yes,,,
baboon,70,52.33579018,0.999827274,24,3000,84536,Yes,,,
baboon,70,51.17606781,0.999748899,48,4000,84536,Yes,,,
baboon,70,50.1958724,0.999640437,24,5000,84536,Yes,,,
baboon,70,49.4501563,0.999492157,50,6000,84536,Yes,,,
baboon,70,48.78223439,0.999257837,46,7000,84536,Yes,,,
baboon,70,48.25702185,0.998947043,58,8000,84536,Yes,,,
baboon,70,47.77680002,0.998500106,71,9000,84536,Yes,,,
baboon,70,47.38879444,0.997883106,78,10000,84536,Yes,,,
baboon,70,47.06216521,0.997429333,98,11000,84536,Yes,,,
baboon,70,46.79836153,0.99739737,83,12000,84536,Yes,,,
baboon,70,46.55632733,0.997362344,91,13000,84536,Yes,,,
baboon,70,46.32263484,0.997316478,62,14000,84536,Yes,,,
baboon,70,46.11588388,0.997263505,69,15000,84536,Yes,,,
baboon,80,60.3821738,0.999978073,7,1000,108437,Yes,,,
baboon,80,57.46466933,0.999953171,-15,2000,108437,Yes,,,
baboon,80,55.74105507,0.99992238,-9,3000,108437,Yes,,,
baboon,80,54.47666705,0.999883754,-4,4000,108437,Yes,,,
baboon,80,53.47278135,0.999834428,11,5000,108437,Yes,,,
baboon,80,52.67280497,0.999766084,5,6000,108437,Yes,,,
baboon,80,52.00131027,0.999669984,-6,7000,108437,Yes,,,
baboon,80,51.41980066,0.999533225,21,8000,108437,Yes,,,
baboon,80,50.92717883,0.999330673,16,9000,108437,Yes,,,
baboon,80,50.49299804,0.999051439,18,10000,108437,Yes,,,
baboon,80,50.12573063,0.998678084,33,11000,108437,Yes,,,
baboon,80,49.82642187,0.998650361,22,12000,108437,Yes,,,
baboon,80,49.54944831,0.998631264,60,13000,108437,Yes,,,
baboon,80,49.29152982,0.998607425,19,14000,108437,Yes,,,
baboon,80,49.03616007,0.998577765,31,15000,108437,Yes,,,
baboon,90,64.38808512,0.999990383,33,1000,159923,Yes,,,
baboon,90,61.37568627,0.999979178,-9,2000,159923,Yes,,,
baboon,90,59.62901937,0.999965728,25,3000,159923,Yes,,,
baboon,90,58.38238142,0.999949227,-12,4000,159923,Yes,,,
baboon,90,57.4692193,0.99993021,-18,5000,159923,Yes,,,
baboon,90,56.69744065,0.999905682,24,6000,159923,Yes,,,
baboon,90,56.02292249,0.999870297,3,7000,159923,Yes,,,
baboon,90,55.45368436,0.999821245,14,8000,159923,Yes,,,
baboon,90,54.95909631,0.99975318,-19,9000,159923,Yes,,,
baboon,90,54.49750069,0.999646074,-4,10000,159923,Yes,,,
baboon,90,54.10054354,0.999518396,-3,11000,159923,Yes,,,
baboon,90,53.76701195,0.999390406,1,12000,159923,Yes,,,
baboon,90,53.59738081,0.999385698,-4,13000,159923,Yes,,,
baboon,90,53.41814531,0.999379178,-16,14000,159923,Yes,,,
baboon,90,53.25937711,0.999372366,-30,15000,159923,Yes,,,
boat,50,53.13773563,0.999681263,23,1000,29048,Yes,,,
boat,50,50.05951823,0.999119169,37,2000,29048,Yes,,,
boat,50,48.40600444,0.998415098,39,3000,29048,Yes,,,
boat,50,47.27814624,0.997611523,69,4000,29048,Yes,,,
boat,50,46.37217787,0.996576957,89,5000,29048,Yes,,,
boat,50,45.69471835,0.995527937,75,6000,29048,Yes,,,
boat,50,45.10312653,0.994123421,104,7000,29048,Yes,,,
boat,50,44.68647788,0.992497074,170,8000,29048,Yes,,,
boat,50,44.26113308,0.992245573,181,9000,29048,Yes,,,
boat,50,43.87995757,0.991854536,163,10000,29048,Yes,,,
boat,50,43.52668427,0.991354687,172,11000,29048,Yes,,,
boat,50,43.19953543,0.990645281,170,12000,29048,Yes,,,
