Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success,,,
splash,80,60.51666553,0.999759909,0,1000,29883,Yes,,,
splash,80,57.69896714,0.999387747,2,2000,29883,Yes,,,
splash,80,56.01528175,0.998974939,23,3000,29883,Yes,,,
splash,80,54.81883967,0.998519629,52,4000,29883,Yes,,,
splash,80,53.88082297,0.998054008,68,5000,29883,Yes,,,
splash,80,53.13338254,0.997567783,79,6000,29883,Yes,,,
splash,80,52.50123327,0.997052194,99,7000,29883,Yes,,,
splash,80,51.97192378,0.996522254,147,8000,29883,Yes,,,
splash,80,51.49499425,0.996178716,169,9000,29883,Yes,,,
splash,80,51.11882845,0.995928234,170,10000,29883,Yes,,,
splash,80,50.74780488,0.995570339,198,11000,29883,Yes,,,
splash,80,50.41984012,0.995197265,201,12000,29883,Yes,,,
splash,80,50.11857675,0.994798573,207,13000,29883,Yes,,,
splash,80,49.70340756,0.994289808,259,14000,29883,Yes,,,
splash,80,49.40726841,0.993782451,315,15000,29883,Yes,,,
splash,90,64.46290448,0.999889158,16,1000,56142,Yes,,,
splash,90,61.57938583,0.999731533,21,2000,56142,Yes,,,
splash,90,59.82128417,0.999536404,27,3000,56142,Yes,,,
splash,90,58.63445008,0.99933839,35,4000,56142,Yes,,,
splash,90,57.67145639,0.999122337,9,5000,56142,Yes,,,
splash,90,56.92820413,0.998915407,32,6000,56142,Yes,,,
splash,90,56.29723182,0.998684629,13,7000,56142,Yes,,,
splash,90,55.71571059,0.998465492,-6,8000,56142,Yes,,,
splash,90,55.25056109,0.998235832,8,9000,56142,Yes,,,
splash,90,54.81752617,0.998005564,-3,10000,56142,Yes,,,
splash,90,54.54055726,0.997898778,26,11000,56142,Yes,,,
splash,90,54.31570276,0.997811783,5,12000,56142,Yes,,,
splash,90,54.11431964,0.997712642,11,13000,56142,Yes,,,
splash,90,53.90836916,0.997599804,2,14000,56142,Yes,,,
splash,90,53.71527947,0.997477971,3,15000,56142,Yes,,,
