Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success
baboon,50,46.16807404000394,0.9990560095293669,45.0,5000,94578,Yes
baboon,50,45.427566038025006,0.9986472169375463,65.0,6000,94578,Yes
baboon,50,44.758574438530836,0.9980278607425026,67.0,7000,94578,Yes
baboon,50,44.24019642005226,0.9971261861803551,102.0,8000,94578,Yes
baboon,50,43.82910940174626,0.9959331676504475,111.0,9000,94578,Yes
baboon,50,43.48486566291618,0.9947084557879867,133.0,10000,94578,Yes
baboon,50,43.15242145013799,0.9946195250636426,128.0,11000,94578,Yes
baboon,50,42.851061205154544,0.9945117630133959,130.0,12000,94578,Yes
baboon,50,42.54934738072363,0.9943644243411298,130.0,13000,94578,Yes
baboon,50,42.292239547960826,0.9941950428383736,130.0,14000,94578,Yes
baboon,50,42.037958613895476,0.993949573683188,143.0,15000,94578,Yes
baboon,60,54.68319601125533,0.9999217943186295,8.0,1000,108879,Yes
baboon,60,51.85671744714238,0.9998318643647882,12.0,2000,108879,Yes
baboon,60,50.090520692231806,0.9997169631240717,28.0,3000,108879,Yes
baboon,60,48.84104877972713,0.9995702913987529,49.0,4000,108879,Yes
baboon,60,47.876426671429854,0.9993827291593587,45.0,5000,108879,Yes
baboon,60,47.10844698466836,0.999101714841589,44.0,6000,108879,Yes
baboon,60,46.44251726175646,0.9986883595268854,57.0,7000,108879,Yes
baboon,60,45.8963087738305,0.9981008259172077,64.0,8000,108879,Yes
baboon,60,45.41469407222303,0.9972170930172998,78.0,9000,108879,Yes
baboon,60,45.06041846256173,0.996175562279788,97.0,10000,108879,Yes
baboon,60,44.73078530689545,0.996025107561822,115.0,11000,108879,Yes
baboon,60,44.45509420455309,0.9959607777861806,132.0,12000,108879,Yes
baboon,60,44.17708529207285,0.9958788115005114,116.0,13000,108879,Yes
baboon,60,43.90580706057981,0.995770595612709,125.0,14000,108879,Yes
baboon,60,43.66492016806289,0.9956383659776006,139.0,15000,108879,Yes
baboon,70,57.20285146909511,0.9999545621069701,25.0,1000,127848,Yes
baboon,70,54.143987831967344,0.9998996687738925,39.0,2000,127848,Yes
baboon,70,52.33579018456143,0.9998272742036327,24.0,3000,127848,Yes
baboon,70,51.1760678091605,0.9997488992377106,48.0,4000,127848,Yes
baboon,70,50.19587240148783,0.9996404365379865,24.0,5000,127848,Yes
baboon,70,49.450156303112,0.9994921570319847,50.0,6000,127848,Yes
baboon,70,48.7822343942203,0.9992578371573448,46.0,7000,127848,Yes
baboon,70,48.257021849074135,0.9989470427676166,58.0,8000,127848,Yes
baboon,70,47.77680001507409,0.9985001063108686,71.0,9000,127848,Yes
baboon,70,47.38879444466697,0.9978831055279482,78.0,10000,127848,Yes
baboon,70,47.062165209675214,0.9974293334086853,98.0,11000,127848,Yes
baboon,70,46.79836153054967,0.9973973701483086,83.0,12000,127848,Yes
baboon,70,46.55632732936505,0.9973623438484178,91.0,13000,127848,Yes
baboon,70,46.32263484107122,0.9973164775940614,62.0,14000,127848,Yes
baboon,70,46.11588387693274,0.9972635051508243,69.0,15000,127848,Yes
baboon,80,60.38217379757154,0.9999780734003689,7.0,1000,158055,Yes
baboon,80,57.46466932915919,0.9999531705555148,-15.0,2000,158055,Yes
baboon,80,55.7410550655037,0.9999223798874022,-9.0,3000,158055,Yes
baboon,80,54.47666705415534,0.9998837537605086,-4.0,4000,158055,Yes
baboon,80,53.47278135172513,0.9998344284233874,11.0,5000,158055,Yes
baboon,80,52.67280497086445,0.9997660841452298,5.0,6000,158055,Yes
baboon,80,52.00131027109822,0.9996699837068508,-6.0,7000,158055,Yes
baboon,80,51.419800658573735,0.9995332249263733,21.0,8000,158055,Yes
baboon,80,50.92717882885978,0.9993306732826454,16.0,9000,158055,Yes
baboon,80,50.49299804312934,0.9990514392779718,18.0,10000,158055,Yes
baboon,80,50.12573063324769,0.9986780839323078,33.0,11000,158055,Yes
baboon,80,49.82642186926918,0.9986503613644195,22.0,12000,158055,Yes
baboon,80,49.54944830746834,0.9986312643705431,60.0,13000,158055,Yes
baboon,80,49.29152981967369,0.9986074254984171,19.0,14000,158055,Yes
baboon,80,49.03616006703639,0.9985777652449278,31.0,15000,158055,Yes
baboon,90,64.38808511571425,0.9999903834497024,33.0,1000,219996,Yes
baboon,90,61.37568627309608,0.9999791778634767,-9.0,2000,219996,Yes
