Image,Quality,Position (a),Qt val,PSNR,SSIM,FSI,Count Modified
baboon,50,48,87.0,42.29388541690186,0.9983857416203542,147.0,133
baboon,50,49,95.0,41.459926059642775,0.9980540712102204,164.0,135
baboon,50,50,98.0,45.33441414593056,0.999285932372923,71.0,52
baboon,50,51,103.0,46.86582982906752,0.9995170131137601,52.0,33
baboon,50,52,104.0,50.51428436622254,0.9997822139935199,41.0,14
baboon,50,53,103.0,51.637240472808124,0.9998215275786656,31.0,11
baboon,50,54,62.0,50.240720828338645,0.9997043756834615,62.0,42
baboon,50,55,77.0,52.81153196260442,0.9998660778756497,31.0,15
baboon,50,56,113.0,58.25591337855957,0.9999635514648262,28.0,2
baboon,50,57,121.0,57.65642914533749,0.9999641149644832,37.0,2
baboon,50,58,112.0,49.56659269873465,0.9997456032594483,44.0,15
baboon,50,59,100.0,52.30345330305971,0.999879138927389,25.0,10
baboon,50,60,120.0,60.672079387148024,0.9999787608871495,28.0,1
baboon,50,61,92.0,60.04608186828487,0.9999762049395293,38.0,2
baboon,50,62,101.0,inf,1.0,18.0,0
baboon,50,63,103.0,59.05018190855923,0.999966129351135,26.0,2
baboon,50,64,99.0,inf,1.0,18.0,0
boat,50,2,11.0,46.21853043845489,0.9943676322593399,274.0,3118
boat,50,3,12.0,45.39864433285363,0.9931344751690246,305.0,3181
boat,50,4,14.0,45.48477746336199,0.9932967710009812,259.0,2358
boat,50,5,12.0,46.44515733280017,0.9946436696458033,311.0,2463
boat,50,6,10.0,47.65586477741558,0.9956828990850745,356.0,2575
boat,50,7,16.0,45.38385050649267,0.9937318058463682,245.0,1825
boat,50,8,14.0,46.19087542081111,0.9945866252816965,329.0,1973
boat,50,9,13.0,46.61257168738092,0.9947910437699411,379.0,2070
boat,50,10,14.0,46.45681528537913,0.9947140044014944,278.0,1854
boat,50,11,18.0,46.54617051752554,0.995325620475272,162.0,1125
boat,50,12,17.0,46.175851319851056,0.9948559988593965,303.0,1373
boat,50,13,16.0,46.422504998292,0.9952673597855458,359.0,1437
boat,50,14,19.0,45.090645074218976,0.994005045250238,370.0,1417
boat,50,15,24.0,44.11302545220251,0.9935275754457311,280.0,1149
boat,50,16,40.0,42.79038501896264,0.993631286507261,109.0,559
boat,50,17,26.0,44.708239845174816,0.9948383715403192,239.0,836
boat,50,18,24.0,45.625499133959025,0.9957669490285697,282.0,796
boat,50,19,22.0,46.92760129760204,0.9967345191673295,263.0,704
boat,50,20,22.0,48.16463233732753,0.9976349909556973,199.0,526
boat,50,21,24.0,49.50919016309025,0.998271977484981,188.0,325
boat,50,22,49.0,61.53018482464181,0.9999224325805083,26.0,5
boat,50,23,36.0,54.33729799761223,0.999709350074612,54.0,48
boat,50,24,37.0,49.59307478625787,0.9989307290086782,106.0,136
boat,50,25,29.0,47.568170978095026,0.9977792156610349,239.0,352
boat,50,26,40.0,45.175739969105805,0.9970793384475525,197.0,322
boat,50,27,58.0,43.75726354057339,0.9964917177109008,137.0,214
boat,50,28,51.0,43.44558582095894,0.9956971312459213,221.0,296
boat,50,29,61.0,44.41192254475319,0.9977486612772398,81.0,166
boat,50,30,60.0,45.84797169905876,0.9980843881911243,68.0,124
boat,50,31,57.0,46.938779828353276,0.9985601287142534,59.0,107
boat,50,32,51.0,49.68024450461467,0.9991910226762881,85.0,71
boat,50,33,56.0,55.630852777374784,0.9998385794016081,50.0,15
boat,50,34,55.0,58.55444960101739,0.9999133214330242,29.0,8
boat,50,35,64.0,inf,1.0,18.0,0
boat,50,36,72.0,inf,1.0,18.0,0
boat,50,37,92.0,inf,1.0,18.0,0
boat,50,38,78.0,inf,1.0,18.0,0
boat,50,39,64.0,63.204626740795945,0.9999775237105999,12.0,2
boat,50,40,68.0,58.77127682230135,0.9999327524802152,18.0,5
boat,50,41,87.0,53.724639653809795,0.9998090944476231,37.0,10
boat,50,42,69.0,48.32793482219443,0.9990820868842526,82.0,53
boat,50,43,55.0,46.88532367476591,0.9986922846008914,125.0,116
boat,50,44,56.0,50.17515894188414,0.9994664444858485,52.0,53
boat,50,45,80.0,55.403354009963024,0.9998873277395149,25.0,8
boat,50,46,109.0,inf,1.0,18.0,0
boat,50,47,81.0,inf,1.0,18.0,0
boat,50,48,87.0,inf,1.0,18.0,0
boat,50,49,95.0,inf,1.0,18.0,0
boat,50,50,98.0,inf,1.0,18.0,0
boat,50,51,103.0,inf,1.0,18.0,0
boat,50,52,104.0,inf,1.0,18.0,0
boat,50,53,103.0,62.393319290224795,0.9999812468480384,20.0,1
boat,50,54,62.0,53.970342861972256,0.9998508233519068,55.0,18
boat,50,55,77.0,64.46005757872749,0.9999646989487603,18.0,1
boat,50,56,113.0,inf,1.0,18.0,0
boat,50,57,121.0,inf,1.0,18.0,0
boat,50,58,112.0,inf,1.0,18.0,0
boat,50,59,100.0,inf,1.0,18.0,0
boat,50,60,120.0,inf,1.0,18.0,0
boat,50,61,92.0,inf,1.0,18.0,0
boat,50,62,101.0,inf,1.0,18.0,0
boat,50,63,103.0,inf,1.0,18.0,0
boat,50,64,99.0,inf,1.0,18.0,0
lake,50,2,11.0,45.99076950135171,0.9942893289430192,267.0,3281
lake,50,3,12.0,45.63148634050624,0.9942219704143501,269.0,3016
lake,50,4,14.0,45.2638024782323,0.9932116272266742,264.0,2477
lake,50,5,12.0,46.29050295039647,0.9948766023924314,307.0,2556
lake,50,6,10.0,47.375965536481026,0.9954367707955136,348.0,2741
lake,50,7,16.0,45.08187598624321,0.9938351963948955,243.0,1958
lake,50,8,14.0,45.922603151879485,0.9948330935981375,333.0,2095
lake,50,9,13.0,46.24895058243732,0.9946803987062445,397.0,2249
lake,50,10,14.0,45.83250512521736,0.9939380170317321,364.0,2131
lake,50,11,18.0,45.40856445981894,0.9949942922772496,245.0,1464
lake,50,12,17.0,45.3429153462804,0.9945494140058396,324.0,1661
lake,50,13,16.0,45.634599596141115,0.9949114658959771,340.0,1719
lake,50,14,19.0,44.778542000971,0.9941177214347443,307.0,1522
lake,50,15,24.0,44.43512038040605,0.9945805425204495,222.0,1066
lake,50,16,40.0,44.83654112867093,0.9964902740502559,83.0,348
lake,50,17,26.0,45.02616762994794,0.9958571530283262,263.0,776
lake,50,18,24.0,44.70151777062205,0.9955148453281175,339.0,982
lake,50,19,22.0,45.094109919628195,0.9956552262087416,349.0,1072
lake,50,20,22.0,45.416511587916006,0.9960049108942945,301.0,990
lake,50,21,24.0,45.31857112903307,0.9961292905029726,266.0,851
lake,50,22,49.0,45.80275384866486,0.9977075160628982,61.0,186
lake,50,23,36.0,46.37368099652796,0.997818504964253,130.0,301
lake,50,24,37.0,45.07217421137106,0.9973233583806091,191.0,385
lake,50,25,29.0,45.43195121163434,0.9970297928138081,275.0,575
lake,50,26,40.0,46.16280564910744,0.9981543520193406,118.0,256
lake,50,27,58.0,50.821086589368356,0.9994965040956824,49.0,42
lake,50,28,51.0,48.59325195142742,0.9988217084625877,85.0,90
lake,50,29,61.0,54.824639288081926,0.9998103102729211,34.0,15
lake,50,30,60.0,58.25216373011743,0.9998859418419023,28.0,7
lake,50,31,57.0,54.40561539227747,0.9998109915652417,39.0,19
lake,50,32,51.0,49.8921552474506,0.9994414516712127,84.0,67
lake,50,33,56.0,50.00135400598889,0.9994329579104018,69.0,54
lake,50,34,55.0,49.03977361618879,0.9992725022555058,76.0,70
lake,50,35,64.0,52.220801575957985,0.9996742257605716,51.0,25
lake,50,36,72.0,51.75840720289575,0.9994551595610887,36.0,22
lake,50,37,92.0,63.05844228982825,0.9999921560737929,24.0,1
lake,50,38,78.0,64.48360049946623,0.9999925263945457,20.0,1
lake,50,39,64.0,55.39117059034032,0.999854612176933,49.0,12
lake,50,40,68.0,57.19095975495996,0.9998976518460398,26.0,7
lake,50,41,87.0,inf,1.0,18.0,0
lake,50,42,69.0,65.53739701307981,0.999979369888484,25.0,1
lake,50,43,55.0,inf,1.0,18.0,0
lake,50,44,56.0,inf,1.0,18.0,0
lake,50,45,80.0,inf,1.0,18.0,0
lake,50,46,109.0,inf,1.0,18.0,0
lake,50,47,81.0,inf,1.0,18.0,0
lake,50,48,87.0,inf,1.0,18.0,0
lake,50,49,95.0,inf,1.0,18.0,0
lake,50,50,98.0,inf,1.0,18.0,0
lake,50,51,103.0,inf,1.0,18.0,0
lake,50,52,104.0,inf,1.0,18.0,0
lake,50,53,103.0,inf,1.0,18.0,0
lake,50,54,62.0,inf,1.0,18.0,0
lake,50,55,77.0,inf,1.0,18.0,0
lake,50,56,113.0,inf,1.0,18.0,0
lake,50,57,121.0,inf,1.0,18.0,0
lake,50,58,112.0,inf,1.0,18.0,0
lake,50,59,100.0,inf,1.0,18.0,0
lake,50,60,120.0,inf,1.0,18.0,0
lake,50,61,92.0,inf,1.0,18.0,0
lake,50,62,101.0,inf,1.0,18.0,0
lake,50,63,103.0,inf,1.0,18.0,0
lake,50,64,99.0,inf,1.0,18.0,0
peppers,50,2,11.0,45.971843280201774,0.9907315438876984,284.0,3311
peppers,50,3,12.0,45.72264179979328,0.9907964553557527,264.0,2960
peppers,50,4,14.0,46.81345444392348,0.9931067282734687,215.0,1730
peppers,50,5,12.0,47.021193485010244,0.9931582250002848,341.0,2159
peppers,50,6,10.0,48.29465552104366,0.9944319837189353,379.0,2236
peppers,50,7,16.0,47.113398613519195,0.994131864918015,200.0,1226
peppers,50,8,14.0,47.79511698815455,0.9947514881047274,281.0,1368
peppers,50,9,13.0,48.22653144079737,0.9951321242937673,348.0,1426
peppers,50,10,14.0,48.31837568831603,0.995238848327288,294.0,1207
peppers,50,11,18.0,49.39545944111434,0.9973128299978814,99.0,581
peppers,50,12,17.0,48.55054274501454,0.9962130675236078,232.0,795
peppers,50,13,16.0,48.42541066038468,0.9962519797753518,285.0,907
peppers,50,14,19.0,48.08498979126236,0.9961485479379818,209.0,711
peppers,50,15,24.0,47.52102556108192,0.9964721388214294,152.0,525
peppers,50,16,40.0,47.82853691350343,0.9974999982507324,32.0,176
peppers,50,17,26.0,48.987941609015955,0.9978246751287053,98.0,314
peppers,50,18,24.0,48.98207269563734,0.9976401883947436,135.0,368
peppers,50,19,22.0,49.165950835069665,0.997678778830154,179.0,423
peppers,50,20,22.0,49.416925878736215,0.9977908372743449,178.0,397
peppers,50,21,24.0,49.70869350232904,0.9980437799177577,109.0,310
peppers,50,22,49.0,49.13857717391907,0.9984523879624311,11.0,87
peppers,50,23,36.0,50.60959669258291,0.9988519413013537,33.0,115
peppers,50,24,37.0,50.297426958833924,0.9988807352587545,58.0,117
peppers,50,25,29.0,50.374113031728896,0.9986465292810452,102.0,186
peppers,50,26,40.0,50.22035572286164,0.9988298115265016,71.0,101
peppers,50,27,58.0,51.71307813718087,0.9993316936769029,36.0,35
peppers,50,28,51.0,48.877136685333056,0.9982582863807714,72.0,85
peppers,50,29,61.0,51.4853711015095,0.9992170836320162,32.0,33
peppers,50,30,60.0,55.836508244566005,0.9997546182626731,25.0,13
peppers,50,31,57.0,53.418201282872324,0.999516214654676,34.0,24
peppers,50,32,51.0,53.90279586307179,0.999643251896539,29.0,27
peppers,50,33,56.0,54.12734868225562,0.999687480890599,18.0,21
peppers,50,34,55.0,53.764950175938665,0.9996870306169398,38.0,24
peppers,50,35,64.0,58.44497522891987,0.9998594257877548,17.0,6
peppers,50,36,72.0,52.628059026109284,0.9995683595261231,30.0,18
peppers,50,37,92.0,63.248543932788444,0.9999857890124231,12.0,1
peppers,50,38,78.0,61.903065674737114,0.9999604132175365,11.0,2
peppers,50,39,64.0,56.03988195191942,0.9998528644794707,8.0,11
peppers,50,40,68.0,58.17968530755873,0.9998994832885124,17.0,6
peppers,50,41,87.0,63.474482132956595,0.9999797032071847,19.0,1
peppers,50,42,69.0,60.97666438301615,0.9999071379392226,28.0,3
peppers,50,43,55.0,61.588191334097225,0.9999588242977331,18.0,4
peppers,50,44,56.0,64.28914955745219,0.9999609872880761,12.0,2
peppers,50,45,80.0,inf,1.0,18.0,0
peppers,50,46,109.0,inf,1.0,18.0,0
peppers,50,47,81.0,inf,1.0,18.0,0
peppers,50,48,87.0,inf,1.0,18.0,0
peppers,50,49,95.0,inf,1.0,18.0,0
peppers,50,50,98.0,inf,1.0,18.0,0
peppers,50,51,103.0,inf,1.0,18.0,0
peppers,50,52,104.0,inf,1.0,18.0,0
peppers,50,53,103.0,inf,1.0,18.0,0
peppers,50,54,62.0,63.980269888211154,0.9999812336097986,18.0,2
peppers,50,55,77.0,inf,1.0,18.0,0
peppers,50,56,113.0,inf,1.0,18.0,0
peppers,50,57,121.0,inf,1.0,18.0,0
peppers,50,58,112.0,inf,1.0,18.0,0
peppers,50,59,100.0,inf,1.0,18.0,0
peppers,50,60,120.0,inf,1.0,18.0,0
peppers,50,61,92.0,inf,1.0,18.0,0
peppers,50,62,101.0,inf,1.0,18.0,0
peppers,50,63,103.0,inf,1.0,18.0,0
peppers,50,64,99.0,inf,1.0,18.0,0
splash,50,2,11.0,47.090287011097914,0.9919000122822785,247.0,2568
splash,50,3,12.0,46.80981073615268,0.9912489979300321,291.0,2294
splash,50,4,14.0,47.63836127596754,0.9916841029317243,230.0,1413
splash,50,5,12.0,48.987840701585256,0.9940001758289241,305.0,1373
splash,50,6,10.0,49.325250292846896,0.9943568708942045,428.0,1784
splash,50,7,16.0,48.76945324518395,0.9947817106478303,126.0,835
splash,50,8,14.0,50.36789701017302,0.9955985166387107,222.0,755
splash,50,9,13.0,49.31248742201409,0.993965725780758,403.0,1106
splash,50,10,14.0,49.15092216728749,0.9938880462229788,349.0,989
splash,50,11,18.0,50.46761411248721,0.9963902486490066,128.0,456
splash,50,12,17.0,50.505974865656846,0.9961112784421325,189.0,505
splash,50,13,16.0,50.93737869158895,0.99654387489683,211.0,508
splash,50,14,19.0,51.782421642600056,0.9975782197600456,102.0,304
splash,50,15,24.0,49.397965052365976,0.9973166481727204,133.0,340
splash,50,16,40.0,47.47779186731278,0.9968041991195078,69.0,190
splash,50,17,26.0,54.569281748053164,0.999279560102387,27.0,86
splash,50,18,24.0,53.07087732171571,0.998771669109822,87.0,144
splash,50,19,22.0,52.846426625042184,0.9983580026984199,97.0,180
splash,50,20,22.0,53.1267302173893,0.9984065843809403,127.0,168
splash,50,21,24.0,52.64990536521993,0.9983695551418389,93.0,157
splash,50,22,49.0,51.61187110986774,0.9989719646343019,29.0,49
splash,50,23,36.0,58.36591094286199,0.9996820931225828,36.0,19
splash,50,24,37.0,56.038960763069,0.9995821996802186,26.0,31
splash,50,25,29.0,55.104611857374046,0.9994166574172957,46.0,62
splash,50,26,40.0,55.62861741068615,0.9995889940217549,32.0,29
splash,50,27,58.0,inf,1.0,18.0,0
splash,50,28,51.0,47.84263762222571,0.9966885550968154,176.0,109
splash,50,29,61.0,46.84983861335905,0.9982341730978586,82.0,96
splash,50,30,60.0,inf,1.0,18.0,0
splash,50,31,57.0,inf,1.0,18.0,0
splash,50,32,51.0,61.10585980347273,0.9999514967756054,24.0,5
splash,50,33,56.0,62.77957219072481,0.9999769291352847,17.0,3
splash,50,34,55.0,61.641774400431906,0.9999373611774218,18.0,4
splash,50,35,64.0,inf,1.0,18.0,0
splash,50,36,72.0,60.92056016643723,0.9999317601143198,24.0,3
splash,50,37,92.0,inf,1.0,18.0,0
splash,50,38,78.0,inf,1.0,18.0,0
splash,50,39,64.0,inf,1.0,18.0,0
splash,50,40,68.0,inf,1.0,18.0,0
splash,50,41,87.0,inf,1.0,18.0,0
splash,50,42,69.0,inf,1.0,18.0,0
splash,50,43,55.0,inf,1.0,18.0,0
splash,50,44,56.0,inf,1.0,18.0,0
splash,50,45,80.0,inf,1.0,18.0,0
splash,50,46,109.0,inf,1.0,18.0,0
splash,50,47,81.0,inf,1.0,18.0,0
splash,50,48,87.0,inf,1.0,18.0,0
splash,50,49,95.0,inf,1.0,18.0,0
splash,50,50,98.0,inf,1.0,18.0,0
splash,50,51,103.0,inf,1.0,18.0,0
splash,50,52,104.0,inf,1.0,18.0,0
splash,50,53,103.0,inf,1.0,18.0,0
splash,50,54,62.0,inf,1.0,18.0,0
splash,50,55,77.0,inf,1.0,18.0,0
splash,50,56,113.0,inf,1.0,18.0,0
splash,50,57,121.0,inf,1.0,18.0,0
splash,50,58,112.0,inf,1.0,18.0,0
splash,50,59,100.0,inf,1.0,18.0,0
splash,50,60,120.0,inf,1.0,18.0,0
splash,50,61,92.0,inf,1.0,18.0,0
