Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success,,,,,
boat,90,61.59664673,0.999931352,16,2000,136584,Yes,,,,,
boat,90,59.79422827,0.99987153,17,3000,136584,Yes,,,,,
boat,90,58.5703689,0.999801645,26,4000,136584,Yes,,,,,
boat,90,57.62372799,0.999712276,1,5000,136584,Yes,,,,,
boat,90,56.80304498,0.999608016,2,6000,136584,Yes,,,,,
boat,90,56.13425702,0.999486718,-7,7000,136584,Yes,,,,,
boat,90,55.5610773,0.99936013,-24,8000,136584,Yes,,,,,
boat,90,55.05227275,0.999208946,23,9000,136584,Yes,,,,,
boat,90,54.62686341,0.999043057,13,10000,136584,Yes,,,,,
boat,90,54.24139376,0.998825404,0,11000,136584,Yes,,,,,
boat,90,54.02773564,0.998787791,3,12000,136584,Yes,,,,,
boat,90,53.84103148,0.998768127,39,13000,136584,Yes,,,,,
boat,90,53.65746755,0.998736359,-18,14000,136584,Yes,,,,,
boat,90,53.47397183,0.998698807,17,15000,136584,Yes,,,,,
lake,50,53.25252913,0.999731068,25,1000,55635,Yes,,,,,
lake,50,50.19688535,0.999305386,24,2000,55635,Yes,,,,,
lake,50,48.43439124,0.998776104,36,3000,55635,Yes,,,,,
lake,50,47.25394046,0.998089796,44,4000,55635,Yes,,,,,
lake,50,46.35073766,0.997190734,43,5000,55635,Yes,,,,,
lake,50,45.65606151,0.996088846,66,6000,55635,Yes,,,,,
lake,50,45.11871478,0.994515367,117,7000,55635,Yes,,,,,
lake,50,44.67987171,0.993383901,155,8000,55635,Yes,,,,,
lake,50,44.2493709,0.993155099,147,9000,55635,Yes,,,,,
lake,50,43.86661239,0.992836811,158,10000,55635,Yes,,,,,
lake,50,43.50457681,0.992369165,160,11000,55635,Yes,,,,,
lake,50,43.15380112,0.991752242,162,12000,55635,Yes,,,,,
lake,50,42.86759248,0.991058897,174,13000,55635,Yes,,,,,
lake,50,42.57703101,0.989836841,217,14000,55635,Yes,,,,,
lake,50,42.27485137,0.988724545,255,15000,55635,Yes,,,,,
lake,60,54.6924936,0.999797666,8,1000,64782,Yes,,,,,
lake,60,51.74136758,0.999518523,5,2000,64782,Yes,,,,,
lake,60,49.95423234,0.999143256,11,3000,64782,Yes,,,,,
lake,60,48.82127119,0.998703078,23,4000,64782,Yes,,,,,
lake,60,47.82428937,0.998023536,28,5000,64782,Yes,,,,,
lake,60,47.11166883,0.997162359,46,6000,64782,Yes,,,,,
lake,60,46.53483265,0.996051231,77,7000,64782,Yes,,,,,
lake,60,46.10783881,0.994643169,118,8000,64782,Yes,,,,,
lake,60,45.72823095,0.994241802,148,9000,64782,Yes,,,,,
lake,60,45.37483848,0.99408027,134,10000,64782,Yes,,,,,
lake,60,45.03571832,0.993829126,162,11000,64782,Yes,,,,,
lake,60,44.73061871,0.993498499,144,12000,64782,Yes,,,,,
lake,60,44.44958283,0.993082687,161,13000,64782,Yes,,,,,
lake,60,44.176772,0.992494943,171,14000,64782,Yes,,,,,
lake,60,43.94647742,0.99170883,220,15000,64782,Yes,,,,,
lake,70,56.99988112,0.99989207,-1,1000,77118,Yes,,,,,
lake,70,54.05143782,0.999733585,5,2000,77118,Yes,,,,,
lake,70,52.3464042,0.999529348,10,3000,77118,Yes,,,,,
lake,70,51.17620142,0.999267951,21,4000,77118,Yes,,,,,
lake,70,50.22872663,0.998903699,31,5000,77118,Yes,,,,,
lake,70,49.45413144,0.998399597,29,6000,77118,Yes,,,,,
lake,70,48.8574882,0.997771681,30,7000,77118,Yes,,,,,
lake,70,48.41936899,0.997038102,68,8000,77118,Yes,,,,,
lake,70,48.04457256,0.996129134,119,9000,77118,Yes,,,,,
lake,70,47.73382925,0.995966125,125,10000,77118,Yes,,,,,
lake,70,47.43666426,0.995871294,146,11000,77118,Yes,,,,,
lake,70,47.14523399,0.995734741,128,12000,77118,Yes,,,,,
lake,70,46.87483998,0.995573266,146,13000,77118,Yes,,,,,
lake,70,46.62991517,0.995346225,124,14000,77118,Yes,,,,,
lake,70,46.40124936,0.99505874,139,15000,77118,Yes,,,,,
lake,80,60.43704928,0.999948796,7,1000,97323,Yes,,,,,
lake,80,57.32139402,0.999868909,28,2000,97323,Yes,,,,,
lake,80,55.62424315,0.999770813,34,3000,97323,Yes,,,,,
lake,80,54.36004397,0.9996402,16,4000,97323,Yes,,,,,
lake,80,53.40858446,0.99947434,42,5000,97323,Yes,,,,,
lake,80,52.63684049,0.999242164,12,6000,97323,Yes,,,,,
lake,80,52.0035324,0.998943183,34,7000,97323,Yes,,,,,
lake,80,51.46854601,0.998551625,38,8000,97323,Yes,,,,,
lake,80,50.99568823,0.998021569,72,9000,97323,Yes,,,,,
lake,80,50.6255158,0.997478831,124,10000,97323,Yes,,,,,
lake,80,50.31632119,0.997444069,121,11000,97323,Yes,,,,,
lake,80,50.00535713,0.997383674,123,12000,97323,Yes,,,,,
lake,80,49.71668223,0.997308631,100,13000,97323,Yes,,,,,
lake,80,49.44580355,0.997215084,106,14000,97323,Yes,,,,,
lake,80,49.19351929,0.997088253,124,15000,97323,Yes,,,,,
lake,90,64.4295707,0.999978619,-22,1000,151191,Yes,,,,,
lake,90,61.44549077,0.999951035,2,2000,151191,Yes,,,,,
lake,90,59.75263396,0.999915744,-19,3000,151191,Yes,,,,,
lake,90,58.52986219,0.999869685,3,4000,151191,Yes,,,,,
lake,90,57.55006001,0.999805594,32,5000,151191,Yes,,,,,
lake,90,56.77252282,0.999726999,10,6000,151191,Yes,,,,,
lake,90,56.11369681,0.999627316,10,7000,151191,Yes,,,,,
lake,90,55.53229388,0.999499594,34,8000,151191,Yes,,,,,
lake,90,55.04884926,0.999338306,-45,9000,151191,Yes,,,,,
lake,90,54.61741002,0.999113299,-23,10000,151191,Yes,,,,,
lake,90,54.2361874,0.998843614,18,11000,151191,Yes,,,,,
lake,90,54.01461631,0.998780191,13,12000,151191,Yes,,,,,
lake,90,53.82914017,0.998765394,-37,13000,151191,Yes,,,,,
lake,90,53.64760171,0.998746574,-37,14000,151191,Yes,,,,,
lake,90,53.48549663,0.998724031,-63,15000,151191,Yes,,,,,
peppers,50,53.46672065,0.999473536,9,1000,36081,Yes,,,,,
peppers,50,50.43704928,0.998667668,16,2000,36081,Yes,,,,,
peppers,50,48.76720842,0.997704638,14,3000,36081,Yes,,,,,
peppers,50,47.64994334,0.996413015,44,4000,36081,Yes,,,,,
peppers,50,46.82760583,0.994786749,59,5000,36081,Yes,,,,,
peppers,50,46.20401644,0.993053721,133,6000,36081,Yes,,,,,
peppers,50,45.66281364,0.992045626,173,7000,36081,Yes,,,,,
peppers,50,45.13750982,0.991507007,165,8000,36081,Yes,,,,,
peppers,50,44.6911127,0.990769856,185,9000,36081,Yes,,,,,
peppers,50,44.22810626,0.989613474,222,10000,36081,Yes,,,,,
peppers,50,43.85873767,0.988111979,300,11000,36081,Yes,,,,,
peppers,50,43.43400901,0.987591554,309,12000,36081,Yes,,,,,
peppers,50,43.03303307,0.986756003,329,13000,36081,Yes,,,,,
peppers,50,42.530139,0.985260431,398,14000,36081,Yes,,,,,
peppers,50,42.10559637,0.984438536,392,15000,36081,Yes,,,,,
peppers,60,54.78428035,0.999604647,49,1000,43509,Yes,,,,,
peppers,60,52.02066068,0.999069793,41,2000,43509,Yes,,,,,
peppers,60,50.2164441,0.998269805,50,3000,43509,Yes,,,,,
peppers,60,49.12993566,0.997354666,67,4000,43509,Yes,,,,,
peppers,60,48.24606894,0.996122732,102,5000,43509,Yes,,,,,
peppers,60,47.55729824,0.994782733,136,6000,43509,Yes,,,,,
peppers,60,47.02661183,0.993353242,219,7000,43509,Yes,,,,,
peppers,60,46.61684846,0.992763103,235,8000,43509,Yes,,,,,
peppers,60,46.19426832,0.992372999,252,9000,43509,Yes,,,,,
peppers,60,45.80335483,0.991789436,245,10000,43509,Yes,,,,,
peppers,60,45.44695473,0.991074382,267,11000,43509,Yes,,,,,
peppers,60,45.1306047,0.990080432,317,12000,43509,Yes,,,,,
peppers,60,44.83657992,0.989196793,377,13000,43509,Yes,,,,,
peppers,60,44.50980431,0.988838449,384,14000,43509,Yes,,,,,
peppers,60,44.17653204,0.988264674,400,15000,43509,Yes,,,,,
peppers,70,57.22095185,0.999770846,25,1000,53805,Yes,,,,,
peppers,70,54.17013144,0.999397891,27,2000,53805,Yes,,,,,
peppers,70,52.53266265,0.998947746,69,3000,53805,Yes,,,,,
peppers,70,51.40621985,0.9984049,59,4000,53805,Yes,,,,,
