Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success,,,,,
peppers,90,53.81777224,0.998257035,10,14000,117591,Yes,,,,,
peppers,90,53.64105656,0.998198258,4,15000,117591,Yes,,,,,
splash,50,53.52134459,0.999023097,23,1000,24846,Yes,,,,,
splash,50,50.58608933,0.997702258,31,2000,24846,Yes,,,,,
splash,50,49.03128552,0.996122058,49,3000,24846,Yes,,,,,
splash,50,47.93354895,0.99419614,96,4000,24846,Yes,,,,,
splash,50,47.16129264,0.992278957,183,5000,24846,Yes,,,,,
splash,50,46.48660834,0.991111967,211,6000,24846,Yes,,,,,
splash,50,45.43352669,0.989539851,255,7000,24846,Yes,,,,,
splash,50,44.59788167,0.987488432,305,8000,24846,Yes,,,,,
splash,50,44.11005094,0.986307539,313,9000,24846,Yes,,,,,
splash,50,43.52778055,0.984751484,386,10000,24846,Yes,,,,,
splash,50,42.83286554,0.983104337,428,11000,24846,Yes,,,,,
splash,50,42.40316661,0.982452612,438,12000,24846,No,,,,,
splash,50,42.40316661,0.982452612,438,13000,24846,No,,,,,
splash,50,42.40316661,0.982452612,438,14000,24846,No,,,,,
splash,50,42.40316661,0.982452612,438,15000,24846,No,,,,,
splash,60,54.94682246,0.999243549,42,1000,31221,Yes,,,,,
splash,60,52.18660798,0.998255847,34,2000,31221,Yes,,,,,
splash,60,50.57633203,0.997021875,82,3000,31221,Yes,,,,,
splash,60,49.4426651,0.995708181,95,4000,31221,Yes,,,,,
splash,60,48.58881296,0.994338795,149,5000,31221,Yes,,,,,
splash,60,47.91495527,0.99275702,243,6000,31221,Yes,,,,,
splash,60,47.37023268,0.992108462,269,7000,31221,Yes,,,,,
splash,60,46.85031971,0.991208182,287,8000,31221,Yes,,,,,
splash,60,45.87211238,0.989547116,344,9000,31221,Yes,,,,,
splash,60,45.45045677,0.98810708,406,10000,31221,Yes,,,,,
splash,60,45.09656414,0.987364042,450,11000,31221,Yes,,,,,
splash,60,44.57175584,0.985961759,501,12000,31221,Yes,,,,,
splash,60,44.15711295,0.984905925,540,13000,31221,Yes,,,,,
splash,60,43.62587562,0.983595443,595,14000,31221,Yes,,,,,
splash,60,43.00899915,0.982591515,629,15000,31221,No,,,,,
splash,70,57.4793316,0.999546429,27,1000,40233,Yes,,,,,
splash,70,54.70399311,0.998898585,47,2000,40233,Yes,,,,,
splash,70,53.0414213,0.998127232,59,3000,40233,Yes,,,,,
splash,70,51.92773695,0.997412001,112,4000,40233,Yes,,,,,
splash,70,51.07843752,0.996642748,130,5000,40233,Yes,,,,,
splash,70,50.3898036,0.995811882,155,6000,40233,Yes,,,,,
splash,70,49.77882581,0.994862257,218,7000,40233,Yes,,,,,
splash,70,49.31370546,0.99431298,271,8000,40233,Yes,,,,,
splash,70,48.89027866,0.993869256,282,9000,40233,Yes,,,,,
splash,70,48.49680735,0.993308222,302,10000,40233,Yes,,,,,
splash,70,47.87861466,0.992443585,321,11000,40233,Yes,,,,,
splash,70,47.41296531,0.991535516,376,12000,40233,Yes,,,,,
splash,70,46.97180397,0.990429442,470,13000,40233,Yes,,,,,
splash,70,46.67483505,0.990023544,469,14000,40233,Yes,,,,,
splash,70,46.2809918,0.989236315,489,15000,40233,Yes,,,,,
splash,80,60.51666553,0.999759909,0,1000,54756,Yes,,,,,
splash,80,57.69896714,0.999387747,2,2000,54756,Yes,,,,,
splash,80,56.01528175,0.998974939,23,3000,54756,Yes,,,,,
splash,80,54.81883967,0.998519629,52,4000,54756,Yes,,,,,
splash,80,53.88082297,0.998054008,68,5000,54756,Yes,,,,,
splash,80,53.13338254,0.997567783,79,6000,54756,Yes,,,,,
splash,80,52.50123327,0.997052194,99,7000,54756,Yes,,,,,
splash,80,51.97192378,0.996522254,147,8000,54756,Yes,,,,,
splash,80,51.49499425,0.996178716,169,9000,54756,Yes,,,,,
splash,80,51.11882845,0.995928234,170,10000,54756,Yes,,,,,
splash,80,50.74780488,0.995570339,198,11000,54756,Yes,,,,,
splash,80,50.41984012,0.995197265,201,12000,54756,Yes,,,,,
splash,80,50.11857675,0.994798573,207,13000,54756,Yes,,,,,
splash,80,49.70340756,0.994289808,259,14000,54756,Yes,,,,,
splash,80,49.40726841,0.993782451,315,15000,54756,Yes,,,,,
splash,90,64.46290448,0.999889158,16,1000,89463,Yes,,,,,
splash,90,61.57938583,0.999731533,21,2000,89463,Yes,,,,,
splash,90,59.82128417,0.999536404,27,3000,89463,Yes,,,,,
splash,90,58.63445008,0.99933839,35,4000,89463,Yes,,,,,
splash,90,57.67145639,0.999122337,9,5000,89463,Yes,,,,,
splash,90,56.92820413,0.998915407,32,6000,89463,Yes,,,,,
splash,90,56.29723182,0.998684629,13,7000,89463,Yes,,,,,
splash,90,55.71571059,0.998465492,-6,8000,89463,Yes,,,,,
splash,90,55.25056109,0.998235832,8,9000,89463,Yes,,,,,
splash,90,54.81752617,0.998005564,-3,10000,89463,Yes,,,,,
splash,90,54.54055726,0.997898778,26,11000,89463,Yes,,,,,
splash,90,54.31570276,0.997811783,5,12000,89463,Yes,,,,,
splash,90,54.11431964,0.997712642,11,13000,89463,Yes,,,,,
splash,90,53.90836916,0.997599804,2,14000,89463,Yes,,,,,
splash,90,53.71527947,0.997477971,3,15000,89463,Yes,,,,,
