Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success
baboon,60,50.67434037695294,0.9974788499507676,73.0,3000,108879,Yes
baboon,60,49.39091754999047,0.9971096710391119,68.0,4000,108879,Yes
baboon,60,48.33324298602409,0.996838484316351,68.0,5000,108879,Yes
baboon,60,47.494487090149356,0.9966630482581251,89.0,6000,108879,Yes
baboon,60,46.77048753989204,0.9965243972193779,100.0,7000,108879,Yes
baboon,60,46.142938188046905,0.9964090787547137,112.0,8000,108879,Yes
baboon,60,45.60774441543953,0.9963194327337448,99.0,9000,108879,Yes
baboon,60,45.1434098739217,0.9960872826174848,95.0,10000,108879,Yes
baboon,60,44.833849513122374,0.9950953395181339,119.0,11000,108879,Yes
baboon,60,44.56282218849039,0.9945053609983796,150.0,12000,108879,Yes
baboon,60,44.29068891132182,0.994096195516862,161.0,13000,108879,Yes
baboon,60,44.02637041061203,0.9938088058421136,155.0,14000,108879,Yes
baboon,60,43.77511084799244,0.9936226996768881,156.0,15000,108879,Yes
baboon,70,58.203879112785025,0.9993104938901393,49.0,1000,127848,Yes
baboon,70,55.06730279981536,0.9988054074253441,45.0,2000,127848,Yes
baboon,70,53.223852794512645,0.9984414441957082,83.0,3000,127848,Yes
baboon,70,51.8418964266403,0.9981769666725964,69.0,4000,127848,Yes
baboon,70,50.74598934036953,0.9979925008191379,50.0,5000,127848,Yes
baboon,70,49.86482849568961,0.9978621356801025,89.0,6000,127848,Yes
baboon,70,49.13254299970019,0.997766708663076,87.0,7000,127848,Yes
baboon,70,48.50812296363407,0.9976904749586814,79.0,8000,127848,Yes
baboon,70,47.935449131370056,0.9976250526850325,66.0,9000,127848,Yes
baboon,70,47.472763043095284,0.9975789595031997,90.0,10000,127848,Yes
baboon,70,47.085973757007835,0.9972363539106482,90.0,11000,127848,Yes
baboon,70,46.83624180596847,0.9967801248015262,119.0,12000,127848,Yes
baboon,70,46.57947021263749,0.9964374243554376,124.0,13000,127848,Yes
baboon,70,46.34947329719075,0.9962237455328723,135.0,14000,127848,Yes
baboon,70,46.1253948009896,0.9960596909903496,133.0,15000,127848,Yes
baboon,80,60.84036700397932,0.9996181002602874,21.0,1000,158055,Yes
baboon,80,57.70421994197079,0.9993336873067142,26.0,2000,158055,Yes
baboon,80,55.86355252603951,0.999124900641686,13.0,3000,158055,Yes
baboon,80,54.62353760285787,0.998993869823137,2.0,4000,158055,Yes
baboon,80,53.607834694984376,0.9988970725893278,34.0,5000,158055,Yes
baboon,80,52.81158063913974,0.9988319543355055,17.0,6000,158055,Yes
baboon,80,52.160216473137375,0.9987856721567773,18.0,7000,158055,Yes
baboon,80,51.55362244847849,0.998747038789785,37.0,8000,158055,Yes
baboon,80,51.02062503247899,0.9987150233321782,-14.0,9000,158055,Yes
baboon,80,50.543782217949264,0.9986888562183874,3.0,10000,158055,Yes
baboon,80,50.1189171417132,0.9986630413871648,-4.0,11000,158055,Yes
baboon,80,49.82612812271956,0.9983222838329252,26.0,12000,158055,Yes
baboon,80,49.54407729527459,0.9980794849749044,33.0,13000,158055,Yes
baboon,80,49.27804555673476,0.9978986806160091,31.0,14000,158055,Yes
baboon,80,49.0278215973743,0.9977853183269547,20.0,15000,158055,Yes
baboon,90,64.77119053432655,0.9998428573764746,10.0,1000,219996,Yes
baboon,90,61.77237074514095,0.9997236296086952,-12.0,2000,219996,Yes
baboon,90,59.96748824256869,0.9996359363564249,-8.0,3000,219996,Yes
baboon,90,58.73742583589699,0.9995785516258635,6.0,4000,219996,Yes
baboon,90,57.718961689777295,0.9995348628293192,13.0,5000,219996,Yes
baboon,90,56.88682874586952,0.9995030223534784,-14.0,6000,219996,Yes
baboon,90,56.233296450105854,0.9994809955022214,17.0,7000,219996,Yes
baboon,90,55.64737423586753,0.9994626252175429,-1.0,8000,219996,Yes
baboon,90,55.112211496466884,0.9994472658692524,29.0,9000,219996,Yes
baboon,90,54.65043862429625,0.999435125297567,-25.0,10000,219996,Yes
baboon,90,54.23895884119922,0.9994247756409644,16.0,11000,219996,Yes
baboon,90,53.89366861135218,0.9993918993847166,-28.0,12000,219996,Yes
baboon,90,53.7139610627049,0.9993149139942845,-31.0,13000,219996,Yes
baboon,90,53.53196157112237,0.9992522215973698,2.0,14000,219996,Yes
baboon,90,53.3518776840993,0.9992081331927465,-40.0,15000,219996,Yes
boat,50,54.798640251337154,0.9982822752405658,80.0,1000,50691,Yes
boat,50,51.32053581280972,0.9969241756214728,84.0,2000,50691,Yes
boat,50,49.35721266855567,0.9957753762524609,106.0,3000,50691,Yes
boat,50,47.9977905728613,0.9947857466947221,118.0,4000,50691,Yes
boat,50,46.94129865304583,0.9939557152327386,142.0,5000,50691,Yes
boat,50,46.080112974183116,0.9933416035666262,142.0,6000,50691,Yes
boat,50,45.3015764637859,0.992834105938846,151.0,7000,50691,Yes
boat,50,44.64215789369312,0.992329405683055,156.0,8000,50691,Yes
boat,50,44.11815848730313,0.9908424970036066,222.0,9000,50691,Yes
boat,50,43.71955504964117,0.989856634795154,244.0,10000,50691,Yes
boat,50,43.390320899500274,0.9891092320322858,247.0,11000,50691,Yes
boat,50,43.056902000065314,0.9884238097340035,262.0,12000,50691,Yes
