Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success
airplane,70,53.542258980658424,0.9977246750743004,904.0,3000,214656,Yes
airplane,70,52.7457358292361,0.9972702291327556,1281.0,4000,214656,Yes
airplane,70,52.67907991517673,0.9972093852050335,1431.0,5000,214656,Yes
airplane,70,52.62008702444989,0.9971567911380804,1483.0,6000,214656,Yes
airplane,70,52.57638540705542,0.9971123982651492,1653.0,7000,214656,Yes
airplane,70,52.0520142890128,0.9968140280797786,1576.0,8000,214656,Yes
airplane,70,52.00976040868112,0.9967675346145334,1705.0,9000,214656,Yes
airplane,70,51.96779342563745,0.9967226237100079,1841.0,10000,214656,Yes
airplane,70,51.93624395810236,0.9966830537705995,1988.0,11000,214656,Yes
airplane,70,51.89939479642856,0.9966357838245766,2134.0,12000,214656,Yes
airplane,70,51.52779367429688,0.9963756377703691,2192.0,13000,214656,Yes
airplane,70,51.4998138260364,0.9963394519285054,2310.0,14000,214656,Yes
airplane,70,51.46561723345503,0.996293124534528,2465.0,15000,214656,Yes
airplane,80,53.423073728583404,0.9976229277848702,64.0,1000,189792,Yes
airplane,80,53.33679952804599,0.9975636316176831,123.0,2000,189792,Yes
airplane,80,52.40784361042895,0.9969553661565197,268.0,3000,189792,Yes
airplane,80,52.36951260994043,0.9969118167231692,383.0,4000,189792,Yes
airplane,80,51.691812068660276,0.9964199207631845,828.0,5000,189792,Yes
airplane,80,51.66268417733582,0.9963814036758453,935.0,6000,189792,Yes
airplane,80,51.228456036421726,0.9960382478674735,1447.0,7000,189792,Yes
airplane,80,51.20253577875378,0.9959956153110296,1620.0,8000,189792,Yes
airplane,80,51.17092696471842,0.9959462440005145,1744.0,9000,189792,Yes
airplane,80,51.147071791414504,0.995906738638087,1868.0,10000,189792,Yes
airplane,80,51.1240729709135,0.9958694478672563,2001.0,11000,189792,Yes
airplane,80,50.72341913237853,0.9954851325818306,2780.0,12000,189792,Yes
airplane,80,50.697763151343835,0.9954403488804664,2936.0,13000,189792,Yes
airplane,80,50.676394137661454,0.9954010267105894,3067.0,14000,189792,Yes
airplane,80,50.65613716348284,0.9953627783719889,3197.0,15000,189792,Yes
airplane,90,52.06707919075443,0.996589700216845,687.0,1000,137869,Yes
airplane,90,51.27122928833578,0.9959207081119617,1456.0,2000,137869,Yes
airplane,90,50.74266282670798,0.9953555588311199,1644.0,3000,137869,Yes
airplane,90,50.723930791175995,0.9953239158621262,1777.0,4000,137869,Yes
airplane,90,50.17927249663748,0.9946401972243049,2666.0,5000,137869,Yes
airplane,90,49.79503021272977,0.9941384230548037,2850.0,6000,137869,Yes
airplane,90,49.778438420610215,0.9941011178450796,2938.0,7000,137869,Yes
airplane,90,49.76205448960914,0.9940615685446568,3009.0,8000,137869,Yes
airplane,90,49.51280976773447,0.9937433832901043,3056.0,9000,137869,Yes
airplane,90,49.49589865787196,0.993702172231652,3190.0,10000,137869,Yes
airplane,90,49.48285126184916,0.9936707782457543,3268.0,11000,137869,Yes
airplane,90,49.46821964317252,0.9936350496796862,3385.0,12000,137869,Yes
airplane,90,49.45049303772081,0.9935897871757537,3440.0,13000,137869,Yes
airplane,90,49.14175422484761,0.9931359900420321,3653.0,14000,137869,Yes
airplane,90,49.12605882856464,0.993092627955773,3783.0,15000,137869,Yes
baboon,50,52.49715640426296,0.9989342366687632,-1301.0,1000,140544,Yes
baboon,50,51.20943049119056,0.9985643525468173,-1496.0,2000,140544,Yes
baboon,50,51.18295405140686,0.9985461635823473,-1525.0,3000,140544,Yes
baboon,50,50.675203433429985,0.998356671825313,-2041.0,4000,140544,Yes
baboon,50,50.33441733081824,0.9982274724458299,-1748.0,5000,140544,Yes
baboon,50,50.31191156271747,0.9982040873014127,-1718.0,6000,140544,Yes
baboon,50,50.29080202249989,0.998186943254689,-1718.0,7000,140544,Yes
baboon,50,50.111669894115934,0.9981429522711031,-1877.0,8000,140544,Yes
baboon,50,50.09624766470513,0.9981267225581159,-1837.0,9000,140544,Yes
baboon,50,50.07761067488942,0.9981102962937876,-1747.0,10000,140544,Yes
baboon,50,50.058691761724,0.998092835688423,-1690.0,11000,140544,Yes
baboon,50,50.038955051489495,0.9980728475734357,-1654.0,12000,140544,Yes
baboon,50,50.02112500273239,0.9980583019389878,-1589.0,13000,140544,Yes
baboon,50,49.99926466747293,0.9980427064694024,-1563.0,14000,140544,Yes
baboon,50,49.71596622125265,0.997920804804591,-1677.0,15000,140544,Yes
baboon,60,51.67615544098996,0.9987294363538418,-1367.0,1000,122248,Yes
baboon,60,50.58915211021833,0.9983377979986653,-1392.0,2000,122248,Yes
baboon,60,50.18886823014804,0.9981671368388948,-901.0,3000,122248,Yes
baboon,60,50.168082135795444,0.9981464938115527,-889.0,4000,122248,Yes
baboon,60,49.95077983141054,0.9980730671655945,-1357.0,5000,122248,Yes
baboon,60,49.93225377988399,0.9980580715713575,-1357.0,6000,122248,Yes
baboon,60,49.915530193366486,0.9980409581527622,-1277.0,7000,122248,Yes
baboon,60,49.89670573727528,0.9980214168499424,-1261.0,8000,122248,Yes
baboon,60,49.87818547692236,0.998003356813403,-1216.0,9000,122248,Yes
baboon,60,49.573307791223456,0.9978662154005739,-1517.0,10000,122248,Yes
baboon,60,49.55300968991938,0.9978471740863105,-1443.0,11000,122248,Yes
baboon,60,49.53928571858722,0.9978358311449045,-1461.0,12000,122248,Yes
baboon,60,49.24511645725132,0.9976910861160034,-1136.0,13000,122248,Yes
baboon,60,49.230750768100364,0.9976784729045031,-1095.0,14000,122248,Yes
baboon,60,49.09030961421,0.9976289537294944,-952.0,15000,122248,Yes
baboon,70,50.96850490466838,0.9984854740872137,-2007.0,1000,100916,Yes
baboon,70,50.015675164493906,0.998083312994868,-1737.0,2000,100916,Yes
baboon,70,49.75978784206682,0.9979839551806421,-2644.0,3000,100916,Yes
baboon,70,49.74059295301953,0.9979700808466782,-2683.0,4000,100916,Yes
baboon,70,49.722892579019174,0.9979529616830929,-2696.0,5000,100916,Yes
baboon,70,49.70695462361192,0.9979347914697436,-2751.0,6000,100916,Yes
baboon,70,49.34542927784115,0.997745819290727,-2613.0,7000,100916,Yes
baboon,70,49.03722136282902,0.9975733099222098,-2092.0,8000,100916,Yes
baboon,70,49.02010901683737,0.9975573462947113,-2123.0,9000,100916,Yes
baboon,70,48.84653470002283,0.9974846646055495,-2226.0,10000,100916,Yes
baboon,70,48.83412806133946,0.9974673697188069,-2182.0,11000,100916,Yes
baboon,70,48.821815036716735,0.9974502207926225,-2130.0,12000,100916,Yes
baboon,70,48.809323764116414,0.9974386877169117,-2068.0,13000,100916,Yes
baboon,70,48.79514979479842,0.9974255917855022,-2078.0,14000,100916,Yes
baboon,70,48.593067670661114,0.9973263231796287,-1746.0,15000,100916,Yes
baboon,80,49.87863141789642,0.998036544656532,-856.0,1000,72334,Yes
baboon,80,49.55169968070314,0.9978859128971888,-1516.0,2000,72334,Yes
baboon,80,49.53678885825766,0.9978685521721657,-1546.0,3000,72334,Yes
baboon,80,49.16281907283394,0.9976602045684692,-1781.0,4000,72334,Yes
baboon,80,48.61621915958782,0.9973657293152265,-1727.0,5000,72334,Yes
baboon,80,48.602549845022274,0.9973483961642764,-1711.0,6000,72334,Yes
baboon,80,48.590617479768746,0.9973330173174935,-1717.0,7000,72334,Yes
baboon,80,48.57533961424529,0.9973196284405517,-1687.0,8000,72334,Yes
baboon,80,48.327744126599455,0.9971552596290938,-1640.0,9000,72334,Yes
baboon,80,48.31175551559166,0.9971384884358134,-1600.0,10000,72334,Yes
baboon,80,48.15794216840686,0.997063512536369,-1337.0,11000,72334,Yes
baboon,80,48.1481174767357,0.9970485496703559,-1333.0,12000,72334,Yes
baboon,80,48.13703727972428,0.9970353246024728,-1252.0,13000,72334,Yes
baboon,80,48.126200417573614,0.9970225347211377,-1249.0,14000,72334,Yes
baboon,80,48.02896026352283,0.9969801082077153,-724.0,15000,72334,Yes
baboon,90,48.60546876398348,0.997389716829648,-1162.0,1000,30080,Yes
baboon,90,48.31643871888005,0.9972017829635331,-1163.0,2000,30080,Yes
baboon,90,47.80538804887969,0.996850748002912,-1284.0,3000,30080,Yes
baboon,90,47.640654500137174,0.9967534421624533,-1256.0,4000,30080,Yes
baboon,90,47.63035189572637,0.9967381266311358,-1118.0,5000,30080,Yes
baboon,90,47.62204780009456,0.9967246361784734,-1146.0,6000,30080,Yes
baboon,90,47.610613279111064,0.9967100379200239,-1079.0,7000,30080,Yes
baboon,90,47.43710199937206,0.9965929645312854,-1588.0,8000,30080,Yes
baboon,90,47.4283133372618,0.9965798662550299,-1566.0,9000,30080,Yes
baboon,90,47.417138094075554,0.9965659366797021,-1603.0,10000,30080,Yes
baboon,90,47.213045440970404,0.996402718685237,-1706.0,11000,30080,Yes
baboon,90,47.036335565537605,0.9962635419479059,-1455.0,12000,30080,Yes
baboon,90,47.0249804799861,0.9962501053116307,-1419.0,13000,30080,Yes
baboon,90,46.90984281795211,0.9961682163104804,-1437.0,14000,30080,Yes
baboon,90,46.902632348353634,0.9961578113716563,-1368.0,15000,30080,Yes
boat,50,55.062477713981195,0.9988487505195248,-198.0,1000,215626,Yes
boat,50,53.75465596281942,0.9985135265816539,-31.0,2000,215626,Yes
boat,50,53.684997439609404,0.9984604227084227,38.0,3000,215626,Yes
boat,50,53.631110315399866,0.9984252387928243,104.0,4000,215626,Yes
boat,50,52.741614569526256,0.9980652771506182,193.0,5000,215626,Yes
boat,50,52.695162461693485,0.9980279729213348,277.0,6000,215626,Yes
boat,50,52.65938911387737,0.9980010188423982,338.0,7000,215626,Yes
boat,50,52.069663483480795,0.9977744844466394,966.0,8000,215626,Yes
